epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1643,1.26842,1.08053,1.28851,0.65817,0.70992,0.7404,0.38862,1.72872,1.25874,1.53276,0.000125,0.000125,0.075125
2,20.7987,1.25618,0.99232,1.27723,0.66323,0.84889,0.81793,0.49466,1.46611,1.07889,1.33602,0.000252476,0.000252476,0.0492525
3,30.4402,1.22731,1.00066,1.26907,0.64486,0.77334,0.77592,0.4469,1.56704,1.20203,1.47594,0.000377377,0.000377377,0.0233774
4,39.7774,1.2272,0.99108,1.28173,0.65004,0.78406,0.75811,0.45611,1.44744,1.29036,1.36462,0.00048515,0.00048515,0.00048515
5,49.5104,1.19158,0.91103,1.24696,0.66597,0.79021,0.74847,0.4611,1.434,1.32466,1.38544,0.0004802,0.0004802,0.0004802
6,58.9569,1.21388,0.9203,1.27284,0.73021,0.61474,0.7418,0.454,1.4503,1.33866,1.37235,0.00047525,0.00047525,0.00047525
7,68.2008,1.22522,0.94448,1.28732,0.60019,0.81097,0.72647,0.439,1.45879,1.20319,1.37154,0.0004703,0.0004703,0.0004703
8,77.517,1.17972,0.90612,1.2438,0.67193,0.73081,0.75395,0.46799,1.44442,1.17442,1.36807,0.00046535,0.00046535,0.00046535
9,86.9027,1.18083,0.89834,1.24116,0.6559,0.64515,0.78127,0.50317,1.37747,1.21546,1.34663,0.0004604,0.0004604,0.0004604
10,100.091,1.19702,0.89439,1.25338,0.65758,0.76521,0.76657,0.4151,1.60842,1.13113,1.44,0.00045545,0.00045545,0.00045545
11,110.738,1.17337,0.89363,1.2403,0.62792,0.78368,0.76766,0.46049,1.4136,1.19791,1.3671,0.0004505,0.0004505,0.0004505
12,120.013,1.16613,0.874,1.22342,0.69693,0.75225,0.78182,0.47096,1.44288,1.26213,1.40176,0.00044555,0.00044555,0.00044555
13,129.311,1.16072,0.8443,1.24275,0.68323,0.71089,0.7538,0.46395,1.45581,1.25427,1.38233,0.0004406,0.0004406,0.0004406
14,138.63,1.13969,0.88348,1.2185,0.69894,0.76136,0.76947,0.4461,1.58533,1.37397,1.42929,0.00043565,0.00043565,0.00043565
15,147.984,1.15442,0.87703,1.22513,0.67774,0.81674,0.76475,0.46778,1.44719,1.13054,1.39956,0.0004307,0.0004307,0.0004307
16,157.329,1.15132,0.85436,1.22718,0.6781,0.78143,0.79224,0.47741,1.44708,1.09129,1.39363,0.00042575,0.00042575,0.00042575
17,166.589,1.11014,0.83833,1.1947,0.68247,0.72246,0.79722,0.49013,1.49389,1.31145,1.4332,0.0004208,0.0004208,0.0004208
18,175.844,1.11392,0.82096,1.19389,0.72684,0.79642,0.82244,0.50604,1.42641,1.17455,1.38355,0.00041585,0.00041585,0.00041585
19,185.216,1.10883,0.79866,1.19039,0.72142,0.7677,0.776,0.45755,1.51475,1.16281,1.43531,0.0004109,0.0004109,0.0004109
20,194.467,1.10116,0.77825,1.19983,0.68415,0.8766,0.77216,0.47249,1.43461,1.13204,1.39095,0.00040595,0.00040595,0.00040595
21,203.653,1.13874,0.82622,1.20136,0.70099,0.86109,0.77785,0.49015,1.39039,1.1573,1.41472,0.000401,0.000401,0.000401
22,212.988,1.09957,0.76376,1.19344,0.76395,0.8009,0.81889,0.50178,1.48027,1.14372,1.38718,0.00039605,0.00039605,0.00039605
23,222.413,1.0812,0.7439,1.18187,0.79786,0.84951,0.82723,0.52681,1.4201,1.02972,1.34246,0.0003911,0.0003911,0.0003911
24,231.647,1.08691,0.7739,1.1784,0.71632,0.82847,0.77775,0.43895,1.54485,1.11089,1.43936,0.00038615,0.00038615,0.00038615
25,241.013,1.10549,0.7836,1.19467,0.69626,0.78514,0.7651,0.45919,1.49943,1.25371,1.46286,0.0003812,0.0003812,0.0003812
26,250.308,1.07229,0.79453,1.18373,0.66685,0.81314,0.75852,0.44556,1.49542,1.22032,1.47195,0.00037625,0.00037625,0.00037625
27,259.567,1.10235,0.79615,1.21527,0.76643,0.7474,0.75797,0.44692,1.48735,1.32261,1.47447,0.0003713,0.0003713,0.0003713
28,268.785,1.04871,0.74076,1.16056,0.69866,0.72039,0.7678,0.46133,1.41759,1.3204,1.42454,0.00036635,0.00036635,0.00036635
29,278.002,1.04757,0.76803,1.15343,0.72449,0.73361,0.77365,0.45104,1.60335,1.46912,1.48519,0.0003614,0.0003614,0.0003614
30,287.263,1.06472,0.7644,1.18587,0.68261,0.77369,0.77103,0.48028,1.4163,1.28648,1.40758,0.00035645,0.00035645,0.00035645
31,296.478,1.0307,0.74035,1.15082,0.72858,0.79461,0.80228,0.5059,1.39604,1.28133,1.40869,0.0003515,0.0003515,0.0003515
